FID	Number_of	Bee_Family	Bee_Genus	Subgenus	Species	Subspecies	Location_D	Date	Floral_Hos
0	1	Andrenidae	Ancylandrena	 	timberlakei	 	Dry Fork, N	22-May-01	Psorothamnus fremontii
1	1	Andrenidae	Andrena	(Andrena)	frigida	 	Calf Creek	9-Apr-03	No Floral Record
2	2	Andrenidae	Andrena	(Andrena)	frigida	 	Calf Creek	9-Apr-03	Salix exigua
3	1	Andrenidae	Andrena	(Andrena)	frigida	 	Henrieville Cr	1-May-01	Salix sp.
4	3	Andrenidae	Andrena	(Andrena)	frigida	 	Henrieville Creek	1-May-01	Rhus trilobata
5	1	Andrenidae	Andrena	(Andrena)	macoupinensis	 	Duffy Mesa, 1.8 mi NNW	6-May-02	Salix exigua
6	2	Andrenidae	Andrena	(Andrena)	macoupinensis	 	Escalante Riv. Jct Death Hollow, 1.1 mi W	14-May-01	Salix exigua
7	1	Andrenidae	Andrena	(Andrena)	macoupinensis	 	Escalante Riv., jct Death Hollow, 1.3 mi W	30-May-01	Salix exigua
8	4	Andrenidae	Andrena	(Andrena)	macoupinensis	 	Henrieville Cr	1-May-01	Salix sp.
9	2	Andrenidae	Andrena	(Andrena)	macoupinensis	 	Henrieville Cr	5-May-02	Salix sp.
11	8	Andrenidae	Andrena	(Andrena)	macoupinensis	 	Long Cyn, 0.8 mi NNW mouth	10-May-01	Salix exigua
12	5	Andrenidae	Andrena	(Andrena)	macoupinensis	 	Long Cyn, 0.8 mi NNW mouth	24-Apr-01	Salix exigua
13	2	Andrenidae	Andrena	(Andrena)	macoupinensis	 	Long Cyn, 0.8 mi NNW mouth	24-Apr-01	Salix sp.
14	1	Andrenidae	Andrena	(Andrena)	macoupinensis	 	Willow Spr., 4.7 mi NNE	12-May-03	Salix exigua
15	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Billy Pasture, 0.95 mi NW	13-May-03	Amelanchier utahensis
16	8	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Billy Pasture, 0.95 mi NW	3-May-02	Amelanchier utahensis
17	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Blackburn Cyn, mouth of	17-May-01	No Floral Record
18	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Blackburn Cyn, mouth of	30-May-01	No Floral Record
19	1	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.3 mi W	31-May-01	Sisymbrium altissimum
20	2	Andrenidae	Andrena	(Andrena)	milwaukeensis	 	Cougar Knoll, 0.34 mi SW	30-May-01	Brassicaceae sp.
